Event;Date;Team;Winnings
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Immortals  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;BIG        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;MIBR       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;TYLOO      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Winstrike  ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;ENCE       ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;AVANGAR    ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;Vitality   ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;NRG        ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;CR4ZY      ;
ESL One Cologne 2014;2014-08-17T10:00:00.000Z;DreamEaters;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;fnatic     ;170000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;NiP        ;250000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;VeryGames  ;22000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Complexity ;32000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;LGB        ;32000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Recursive  ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Reason     ;4000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;SK         ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Xapso      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;iBUYPOWER  ;8000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Dignitas   ;54000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;LDLC       ;132000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;HellRaisers;22000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;3DMAX      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Titan      ;4000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;mousesports;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Cloud9     ;12000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Epsilon    ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Wolves     ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;dAT        ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;PENTA      ;10000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;ESC        ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;FlipSid3   ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Bravado    ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;myXMG      ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Planetkey  ;2000
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Envy       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Keyd       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;TSM        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;CLG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Luminosity ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Kinguin    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Renegades  ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Immunity   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;eBettle    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;G2         ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Liquid     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Vexed      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Astralis   ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Gambit     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;FaZe       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Splyce     ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;OpTic      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;North      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;GODSENT    ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Immortals  ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;BIG        ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;MIBR       ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;TYLOO      ;
DreamHack Winter 2014;2014-11-29T11:00:00.000Z;Winstrike  ;
